eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
0,8636,1.587104331932223,0.9638862732267692,0.9638862732267692,F[P-](F)(F)(F)(F)F
1,1,1.2769389472056139,0.010306045944446967,0.9741923191712162,C
2,129427,1.1934875452202303,0.006477859947702792,0.980670179118919,[O-][n+]1onc2cc(Cl)c3nonc3c12
3,33671,1.2629332423081567,0.0031381541106426814,0.9838083332295616,FC(F)(F)c1ccc(Cl)cc1Cl
4,3237,1.2434604611988334,0.0020847650444646565,0.9858930982740263,ClP(Cl)(Cl)=O
5,19916,1.2349981915890569,0.001589203870222086,0.9874823021442484,ClC1=C(Cl)C(=O)OC1=O
6,1446112,1.1161272140079734,0.0014654677486561599,0.9889477698929046,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
7,704526,1.300366086729999,0.0008771073089509692,0.9898248772018555,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1
8,222696,1.2437584067347678,0.0007965023610436458,0.9906213795628992,O=N(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
9,179,1.3599342316313399,0.0006660897456919617,0.9912874693085911,c1ncncn1
10,3281,1.1818071118892584,0.0006252359057079234,0.9919127052142991,ClS(Cl)(=O)=O
11,191925,1.3122936676334773,0.0004963125305938521,0.992409017744893,O=C1NC(=S)NN1C(=S)N1NC(=S)NC1=O
12,30321,1.364633514971349,0.0004206394469910446,0.992829657191884,OS(=O)(=O)OOS(O)(=O)=O
13,1512599,1.2929336283579824,0.0003631183241998678,0.9931927755160839,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F
14,1220,1.3022953096351546,0.0003353232431452535,0.9935280987592291,FC(F)=C(F)F
15,15570,0.9994649529838686,0.0003007870347076838,0.9938288857939368,N#CC(C#N)=C(C#N)C#N
16,222696,1.1739212391385498,0.0002632156755639042,0.9940921014695007,O=N(=O)C(N(=O)=O)(N(=O)=O)N(=O)=O
17,15570,1.2491706683373682,0.0002587877307561966,0.9943508892002568,N#CC(C#N)=C(C#N)C#N
18,884340,1.3025463813235292,0.00023651274433606924,0.9945874019445929,[O-][n+]1onc(-c2ccc(s2)-c2no[n+]([O-])c2C#N)c1C#N
19,83240,1.13414354929645,0.00021469452363799137,0.9948020964682309,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
20,25579,1.223372202419654,0.00020778507573088626,0.9950098815439619,S=C1SC2=C(S1)SC(=S)S2
21,11438,1.2837114171681712,0.00018830633259022398,0.9951981878765521,Clc1sc(Cl)c(Cl)c1Cl
22,2081,1.299460040665369,0.00016979058325399627,0.9953679784598061,[N-]=[N+]=[N-]
23,25579,1.195230193621294,0.00016294462545202957,0.9955309230852581,S=C1SC2=C(S1)SC(=S)S2
24,17225,1.2648542893135681,0.00015189036348780104,0.995682813448746,NC(=NCl)N=NC(N)=NCl
25,15736,1.2401093359161566,0.00013539918950405925,0.99581821263825,O=C1SC2=C(S1)SSSSS2
26,2399,1.35892342956633,0.0001216002335623825,0.9959398128718123,NC(=S)C(N)=S
27,11438,1.3257694580709256,0.00011917577561510549,0.9960589886474275,Clc1sc(Cl)c(Cl)c1Cl
28,23727,1.224889938238336,0.00011062456184502042,0.9961696132092726,ClC(Cl)(Cl)C(Cl)(Cl)Cl
29,123140,1.270632078063625,0.00010835786768799413,0.9962779710769606,BrC1(Br)S(=O)(=O)OCCOS1(=O)=O
30,277623,1.303344271101456,0.00010174153872855612,0.9963797126156891,Nc1n[n+]([O-])c2ccc(Cl)cc2[n+]1[O-]
31,123163,1.2726399890700257,9.578901783849038e-05,0.9964755016335276,ClC1(Cl)S(=O)(=O)OCCOS1(=O)=O
32,25579,1.2605263190763654,8.829759550592547e-05,0.9965637992290335,S=C1SC2=C(S1)SC(=S)S2
33,4280,1.2905235134136201,8.603966814283677e-05,0.9966498388971763,ClSC(Cl)(Cl)Cl
