eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
0,1555678,0.9128701257132495,0.07523118882754398,0.07523118882754398,CC1OC(OC2C(O)C(OC3OC(CO)C(O)C(O)C3O)C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CC(OC(=O)C=C(C)C)C6(CO)C(O)C(O)C54C)C3(C)C)OC2C(O)=O)C(O)C(O)C1O
1,538160,0.8524125320865057,0.06704994059851822,0.1422811294260622,CC1(C)Oc2cc(O)c3C(=O)c4cc(O)ccc4Oc3c2C=C1
2,1196081,1.0234664226436705,0.05369856002326216,0.19597968944932437,COc1ccc(C=C2SC(=S)N(CC(=O)OCC(=O)Nc3ccc(C)cc3Cl)C2=O)cc1
3,1565124,1.2236874789738035,0.03813827763667292,0.2341179670859973,OC1C2OC(=O)c3c1c(O)c(O)c(O)c3-c1c(O)c(O)c(O)c3-c4c(O)c(O)c(O)cc4C(=O)OC4COC(=O)c5cc(O)c(O)c(O)c5-c5c(O)c(O)c6OC(=O)c7c(c(O)c(O)c8OC(=O)c5c6-c78)-c5c(O)c(O)c(O)cc5C(=O)OC4C2OC(=O)c13
4,641064,1.043032790355176,0.035143294054908944,0.26926126114090626,O=C1CN(CC(=O)N1)S(=O)(=O)c1ccc(cc1)N(=O)=O
5,1553093,0.9838460170082216,0.02953560567112866,0.29879686681203493,Cc1cc(N=Nc2ccc(C=Cc3ccc(cc3S(O)(=O)=O)N=Nc3cc(C)c(N)c(N=Nc4ccc(cc4)S(O)(=O)=O)c3N)c(c2)S(O)(=O)=O)c(N)c(N=Nc2ccc(cc2)S(O)(=O)=O)c1N
6,9002,1.135149930844216,0.026187063125924837,0.32498392993795977,CCn1cnc2ncnc(N)c12
7,840582,1.0127865077656815,0.0232187216638949,0.34820265160185465,NCCCNCCCCNCCCNC(=O)CCCCCCCCCCC(=O)NCCCNCCCCNCCCN
8,1512813,1.0661885481686153,0.021835884143775516,0.37003853574563017,Cc1ccc(C=NN2C(=S)N(CN3CCN(CN4N=C(N(N=Cc5ccc(C)c(C)c5)C4=S)C(F)(F)F)CC3)N=C2C(F)(F)F)cc1C
9,109950,1.0642047890648634,0.018789680982871763,0.38882821672850193,CCOc1cc(CN(C)CCCO)ccc1OC(F)F
10,161845,1.0741451962032702,0.018038620065447212,0.40686683679394914,CCCCCCNS(=O)(=O)c1ccccc1N(=O)=O
11,69494,1.1356796760768155,0.017138961932929624,0.42400579872687877,CC(=O)OCCc1c(C)nc(Cl)nc1Cl
